subject,Classifier,number of sensors,logloss,participant
11,RDA,1,0.630734264,Able-bodied
11,QDA,1,0.911428345,Able-bodied
11,LDA,2,0.557375578,Able-bodied
11,RDA,2,0.50440194,Able-bodied
11,QDA,2,0.841971678,Able-bodied
11,LDA,3,0.416090536,Able-bodied
11,RDA,3,0.418570125,Able-bodied
11,QDA,3,0.69711686,Able-bodied
11,LDA,4,0.314690558,Able-bodied
11,RDA,4,0.362448114,Able-bodied
11,QDA,4,0.659126855,Able-bodied
11,LDA,5,0.292331597,Able-bodied
11,RDA,5,0.381734742,Able-bodied
11,QDA,5,0.560601232,Able-bodied
11,LDA,6,0.29238748,Able-bodied
11,RDA,6,0.355680646,Able-bodied
11,QDA,6,0.544499715,Able-bodied
11,LDA,7,0.28556584,Able-bodied
11,RDA,7,0.28613215,Able-bodied
11,QDA,7,0.550545932,Able-bodied
11,LDA,8,0.301263046,Able-bodied
11,RDA,8,0.319356105,Able-bodied
11,QDA,8,0.558411703,Able-bodied
11,LDA,9,0.297240452,Able-bodied
11,RDA,9,0.303583047,Able-bodied
11,QDA,9,0.605690004,Able-bodied
11,LDA,10,0.300112731,Able-bodied
11,RDA,10,0.32987316,Able-bodied
11,QDA,10,0.616370949,Able-bodied
11,LDA,11,0.304523441,Able-bodied
11,RDA,11,0.343430357,Able-bodied
11,QDA,11,0.637675308,Able-bodied
11,LDA,12,0.313514702,Able-bodied
11,RDA,12,0.313514702,Able-bodied
11,QDA,12,0.618960802,Able-bodied
11,LDA,13,0.321737845,Able-bodied
11,RDA,13,0.321737845,Able-bodied
11,QDA,13,0.617035853,Able-bodied
11,LDA,14,0.31950401,Able-bodied
11,RDA,14,0.31950401,Able-bodied
11,QDA,14,0.63284864,Able-bodied
11,LDA,15,0.328321109,Able-bodied
11,RDA,15,0.328321109,Able-bodied
11,QDA,15,0.672178491,Able-bodied
11,LDA,16,0.327393002,Able-bodied
11,RDA,16,0.327393002,Able-bodied
11,QDA,16,0.633121295,Able-bodied
12,LDA,1,1.0510262,Able-bodied
12,RDA,1,0.875424644,Able-bodied
12,QDA,1,1.137429054,Able-bodied
12,LDA,2,0.963652761,Able-bodied
12,RDA,2,0.93344718,Able-bodied
12,QDA,2,1.604791689,Able-bodied
12,LDA,3,0.576933874,Able-bodied
12,RDA,3,0.576933874,Able-bodied
12,QDA,3,1.443796357,Able-bodied
12,LDA,4,0.532950938,Able-bodied
12,RDA,4,0.532950938,Able-bodied
12,QDA,4,1.562430002,Able-bodied
12,LDA,5,0.447328447,Able-bodied
12,RDA,5,0.447328447,Able-bodied
12,QDA,5,1.668283977,Able-bodied
12,LDA,6,0.421492613,Able-bodied
12,RDA,6,0.421492613,Able-bodied
12,QDA,6,1.647033084,Able-bodied
12,LDA,7,0.424759573,Able-bodied
12,RDA,7,0.424759573,Able-bodied
12,QDA,7,1.634987021,Able-bodied
12,LDA,8,0.437263821,Able-bodied
12,RDA,8,0.437263821,Able-bodied
12,QDA,8,1.614518267,Able-bodied
12,LDA,9,0.441907595,Able-bodied
12,RDA,9,0.441907595,Able-bodied
12,QDA,9,1.68653404,Able-bodied
12,LDA,10,0.419304326,Able-bodied
12,RDA,10,0.425081351,Able-bodied
12,QDA,10,1.770316901,Able-bodied
12,LDA,11,0.409620867,Able-bodied
12,RDA,11,0.409620867,Able-bodied
12,QDA,11,1.794837311,Able-bodied
12,LDA,12,0.404576889,Able-bodied
12,RDA,12,0.404576889,Able-bodied
12,QDA,12,1.745146315,Able-bodied
12,LDA,13,0.416087956,Able-bodied
12,RDA,13,0.42874703,Able-bodied
12,QDA,13,1.926363652,Able-bodied
12,LDA,14,0.421688829,Able-bodied
